survey_row,xlsform_name,xlsform_type,base_type,label_en,choice_list,target_list,target_columns,required_in_app,required_in_sharepoint,relevance,constraint,choice_filter,storage_strategy
85,gender_content,select_one Yes_No,select_one,Was gender-responsive content included?,Yes_No,TACATDP_SocialInclusion,gender_contentValue;gender_contentLabel,yes,no,${ara_training}='1',,,select_one stored as text value/label from reference data for delegation and export fidelity
86,gender_focus,select_one gender_focus,select_one,Brief gender focus description,gender_focus,TACATDP_SocialInclusion,gender_focusValue;gender_focusLabel,yes,no,${ara_training}='1',,,select_one stored as text value/label from reference data for delegation and export fidelity
90,vc_stages,select_multiple vc_stages,select_multiple,What are Value Chain Stages activities involved in this project?,vc_stages,TACATDP_MultiSelectAnswers,QuestionName;ChoiceValue,yes,no,,,,select_multiple child rows
92,farm_preparation_dm,integer,integer,Direct Male Beneficiaries,,TACATDP_Beneficiaries,farm_preparation_dm,yes,no,,,,scalar input field
93,farm_preparation_df,integer,integer,Direct Female Beneficiaries,,TACATDP_Beneficiaries,farm_preparation_df,yes,no,,,,scalar input field
96,farm_preparation_dy,integer,integer,Direct Youth (18-35),,TACATDP_Beneficiaries,farm_preparation_dy,yes,no,,,,scalar input field
97,farm_preparation_im,integer,integer,Indirect Male Beneficiaries,,TACATDP_Beneficiaries,farm_preparation_im,yes,no,,,,scalar input field
98,farm_preparation_if,integer,integer,Indirect Female Beneficiaries,,TACATDP_Beneficiaries,farm_preparation_if,yes,no,,,,scalar input field
101,farm_preparation_iy,integer,integer,Indirect Youth (18-35),,TACATDP_Beneficiaries,farm_preparation_iy,yes,no,,,,scalar input field
104,farm_operations_dm,integer,integer,Direct Male Beneficiaries,,TACATDP_Beneficiaries,farm_operations_dm,yes,no,,,,scalar input field
105,farm_operations_df,integer,integer,Direct Female Beneficiaries,,TACATDP_Beneficiaries,farm_operations_df,yes,no,,,,scalar input field
108,farm_operations_dy,integer,integer,Direct Youth (18-35),,TACATDP_Beneficiaries,farm_operations_dy,yes,no,,,,scalar input field
109,farm_operations_im,integer,integer,Indirect Male Beneficiaries,,TACATDP_Beneficiaries,farm_operations_im,yes,no,,,,scalar input field
110,farm_operations_if,integer,integer,Indirect Female Beneficiaries,,TACATDP_Beneficiaries,farm_operations_if,yes,no,,,,scalar input field
113,farm_operations_iy,integer,integer,Indirect Youth (18-35),,TACATDP_Beneficiaries,farm_operations_iy,yes,no,,,,scalar input field
116,input_supply_dm,integer,integer,Direct Male Beneficiaries,,TACATDP_Beneficiaries,input_supply_dm,yes,no,,,,scalar input field
117,input_supply_df,integer,integer,Direct Female Beneficiaries,,TACATDP_Beneficiaries,input_supply_df,yes,no,,,,scalar input field
120,input_supply_dy,integer,integer,Direct Youth (18-35),,TACATDP_Beneficiaries,input_supply_dy,yes,no,,,,scalar input field
121,input_supply_im,integer,integer,Indirect Male Beneficiaries,,TACATDP_Beneficiaries,input_supply_im,yes,no,,,,scalar input field
122,input_supply_if,integer,integer,Indirect Female Beneficiaries,,TACATDP_Beneficiaries,input_supply_if,yes,no,,,,scalar input field
125,input_supply_iy,integer,integer,Indirect Youth (18-35),,TACATDP_Beneficiaries,input_supply_iy,yes,no,,,,scalar input field
128,weeding_dm,integer,integer,Direct Male Beneficiaries,,TACATDP_Beneficiaries,weeding_dm,yes,no,,,,scalar input field
129,weeding_df,integer,integer,Direct Female Beneficiaries,,TACATDP_Beneficiaries,weeding_df,yes,no,,,,scalar input field
132,weeding_dy,integer,integer,Direct Youth (18-35),,TACATDP_Beneficiaries,weeding_dy,yes,no,,,,scalar input field
133,weeding_im,integer,integer,Indirect Male Beneficiaries,,TACATDP_Beneficiaries,weeding_im,yes,no,,,,scalar input field
134,weeding_if,integer,integer,Indirect Female Beneficiaries,,TACATDP_Beneficiaries,weeding_if,yes,no,,,,scalar input field
137,weeding_iy,integer,integer,Indirect Youth (18-35),,TACATDP_Beneficiaries,weeding_iy,yes,no,,,,scalar input field
140,pest_dm,integer,integer,Direct Male Beneficiaries,,TACATDP_Beneficiaries,pest_dm,yes,no,,,,scalar input field
141,pest_df,integer,integer,Direct Female Beneficiaries,,TACATDP_Beneficiaries,pest_df,yes,no,,,,scalar input field
144,pest_dy,integer,integer,Direct Youth (18-35),,TACATDP_Beneficiaries,pest_dy,yes,no,,,,scalar input field
145,pest_im,integer,integer,Indirect Male Beneficiaries,,TACATDP_Beneficiaries,pest_im,yes,no,,,,scalar input field
146,pest_if,integer,integer,Indirect Female Beneficiaries,,TACATDP_Beneficiaries,pest_if,yes,no,,,,scalar input field
149,pest_iy,integer,integer,Indirect Youth (18-35),,TACATDP_Beneficiaries,pest_iy,yes,no,,,,scalar input field
152,harvesting_dm,integer,integer,Direct Male Beneficiaries,,TACATDP_Beneficiaries,harvesting_dm,yes,no,,,,scalar input field
153,harvesting_df,integer,integer,Direct Female Beneficiaries,,TACATDP_Beneficiaries,harvesting_df,yes,no,,,,scalar input field
156,harvesting_dy,integer,integer,Direct Youth (18-35),,TACATDP_Beneficiaries,harvesting_dy,yes,no,,,,scalar input field
157,harvesting_im,integer,integer,Indirect Male Beneficiaries,,TACATDP_Beneficiaries,harvesting_im,yes,no,,,,scalar input field
158,harvesting_if,integer,integer,Indirect Female Beneficiaries,,TACATDP_Beneficiaries,harvesting_if,yes,no,,,,scalar input field
161,harvesting_iy,integer,integer,Indirect Youth (18-35),,TACATDP_Beneficiaries,harvesting_iy,yes,no,,,,scalar input field
164,postharvest_dm,integer,integer,Direct Male Beneficiaries,,TACATDP_Beneficiaries,postharvest_dm,yes,no,,,,scalar input field
