project_code,instrument_code,version_code,group_code,source_screen,field_code,source_survey_row,display_order,label_en,label_sw,hint_en,data_type,xlsform_type,base_type,required_mode,required_in_app,required_in_dataverse,choice_scheme_code,selection_mode,relevance_expression,constraint_expression,constraint_message,choice_filter,default_value,appearance,answer_storage_table,answer_storage_strategy,source_target_list,source_target_columns,source_file
tacatdp,impact_evaluation,phase3_source_v1,screen_01_demographics,Screen_01_demographics,loan_amount_tzs,24,14,Loan Amount (TZS),Kiasi cha Mkopo (TZS),,WholeNumber,integer,integer,RequiredIfVisible,yes,no,,,,. >= 200000,"Kiasi cha mkopo lazima kiwe TZS 200,000 au zaidi.",,,,mp_AnswerValue,scalar input field,TACATDP_Profile,loan_amount_tzs,docs/xlsform-field-inventory.csv;schemas/xlsform-to-list-mapping.csv
tacatdp,impact_evaluation,phase3_source_v1,screen_01_demographics,Screen_01_demographics,own_farmland,27,15,Farmer/House Hold Own Farmland?,"Je, mkulima au kaya yake inamiliki shamba?",,LookupVocabularyTerm,select_one Yes_No,select_one,RequiredIfVisible,yes,no,yes_no,Single,,,,,,,mp_AnswerValue,select_one stored as text value/label from reference data for delegation and export fidelity,TACATDP_Profile,own_farmlandValue;own_farmlandLabel,docs/xlsform-field-inventory.csv;schemas/xlsform-to-list-mapping.csv
tacatdp,impact_evaluation,phase3_source_v1,screen_01_demographics,Screen_01_demographics,land_size_acres,28,16,Land Size (Acres),Ukubwa wa shamba ni ekari ngapi?,,WholeNumber,integer,integer,RequiredIfVisible,yes,no,,,,,,,,,mp_AnswerValue,scalar input field,TACATDP_Profile,land_size_acres,docs/xlsform-field-inventory.csv;schemas/xlsform-to-list-mapping.csv
tacatdp,impact_evaluation,phase3_source_v1,screen_02_agricultural_production,Screen_02_agricultural_production,crop_name,31,17,Crop Name,Jina la Zao,,MultiSelectVocabularyTermRows,select_multiple crop_name,select_multiple,RequiredIfVisible,yes,no,crop_name,Multiple,,,,,,,mp_MultiSelectAnswer,select_multiple child rows,TACATDP_MultiSelectAnswers,QuestionName;ChoiceValue,docs/xlsform-field-inventory.csv;schemas/xlsform-to-list-mapping.csv
tacatdp,impact_evaluation,phase3_source_v1,screen_02_agricultural_production,Screen_02_agricultural_production,crop_category,32,18,Crop Category,Aina ya Zao,,MultiSelectVocabularyTermRows,select_multiple crop_category,select_multiple,RequiredIfVisible,yes,no,crop_category,Multiple,,,,,,,mp_MultiSelectAnswer,select_multiple child rows,TACATDP_MultiSelectAnswers,QuestionName;ChoiceValue,docs/xlsform-field-inventory.csv;schemas/xlsform-to-list-mapping.csv
tacatdp,impact_evaluation,phase3_source_v1,screen_02_agricultural_production,Screen_02_agricultural_production,crop_adaptation,33,19,Crop Adaptation and Resilience Rationale,Sababu za Uhimilivu na Ustahimilivu wa Zao kwa Mabadiliko ya Tabianchi,,MultiSelectVocabularyTermRows,select_multiple crop_adaptation,select_multiple,RequiredIfVisible,yes,no,crop_adaptation,Multiple,,,,"selected(${crop_name}, crop_name)",,,mp_MultiSelectAnswer,select_multiple child rows,TACATDP_MultiSelectAnswers,QuestionName;ChoiceValue,docs/xlsform-field-inventory.csv;schemas/xlsform-to-list-mapping.csv
tacatdp,impact_evaluation,phase3_source_v1,screen_02_agricultural_production,Screen_02_agricultural_production,technology,34,20,TACATDP ARA Technology Diployed,Teknolojia ya TACATDP ARA Iliyotekelezwa,,MultiSelectVocabularyTermRows,select_multiple technology,select_multiple,RequiredIfVisible,yes,no,technology,Multiple,,,,,,,mp_MultiSelectAnswer,select_multiple child rows,TACATDP_MultiSelectAnswers,QuestionName;ChoiceValue,docs/xlsform-field-inventory.csv;schemas/xlsform-to-list-mapping.csv
tacatdp,impact_evaluation,phase3_source_v1,screen_02_agricultural_production,Screen_02_agricultural_production,climate_risk,35,21,Available Key Climate Risks/hazards,Hatari Kuu za Tabianchi Zinazopatikana,,MultiSelectVocabularyTermRows,select_multiple climate_risk,select_multiple,RequiredIfVisible,yes,no,climate_risk,Multiple,,,,"selected(${technology}, technology)",,,mp_MultiSelectAnswer,select_multiple child rows,TACATDP_MultiSelectAnswers,QuestionName;ChoiceValue,docs/xlsform-field-inventory.csv;schemas/xlsform-to-list-mapping.csv
tacatdp,impact_evaluation,phase3_source_v1,screen_02_agricultural_production,Screen_02_agricultural_production,adaptation,36,22,Adaptation Rationale,Sababu za Kukabiliana na Mabadiliko ya Tabianchi,,MultiSelectVocabularyTermRows,select_multiple adaptation,select_multiple,RequiredIfVisible,yes,no,adaptation,Multiple,,,,"selected(${technology}, technology)",,,mp_MultiSelectAnswer,select_multiple child rows,TACATDP_MultiSelectAnswers,QuestionName;ChoiceValue,docs/xlsform-field-inventory.csv;schemas/xlsform-to-list-mapping.csv
tacatdp,impact_evaluation,phase3_source_v1,screen_02_agricultural_production,Screen_02_agricultural_production,additional,37,23,Additionality (Mitigation Co- benefit),Faida za Ziada (Manufaa ya Kupunguza Athari za Mabadiliko ya Tabianchi),,MultiSelectVocabularyTermRows,select_multiple additional,select_multiple,RequiredIfVisible,yes,no,additional,Multiple,,,,"selected(${technology}, technology)",,,mp_MultiSelectAnswer,select_multiple child rows,TACATDP_MultiSelectAnswers,QuestionName;ChoiceValue,docs/xlsform-field-inventory.csv;schemas/xlsform-to-list-mapping.csv
