survey_row,type,base_type,name,label_en,label_sw,hint_en,required,required_message,relevance,constraint,constraint_message,default,appearance,choice_filter,choice_list,powerapps_control,microsoft_lists_column,microsoft_lists_type,implementation_status,notes
59,integer,integer,male_members,Male Group Members,Idadi ya Wanachama wa Kiume,,yes,,${farmer_group_member}='1',. >= 0,,,,,,,,,input,
60,integer,integer,female_members,Female Group Members,Idadi ya Wanachama wa Kike,,yes,,${farmer_group_member}='1',. >= 0,,,,,,,,,input,
62,integer,integer,youth_members,Youth (18-35) Group Members,Idadi ya Wanachama Vijana (Miaka 18-35),,yes,,${farmer_group_member}='1',. >= 1 and . <= ${total_members},,,,,,,,,input,
69,integer,integer,hh_male,Number of MALE household members,Idadi ya Wanakaya wa Kiume,,yes,,,. >= 0,,,,,,,,,input,
70,integer,integer,hh_female,Number of FEMALE household members,Idadi ya Wanakaya wa Kike,,yes,,,. >= 0,,,,,,,,,input,
73,select_one Gender,select_one,hh_head_gender,Head of Household Gender,Jinsia ya Mkuu wa Kaya,,yes,,,,,,,,Gender,,,,input,
74,select_one Yes_No,select_one,women_decision,Are women direct decision-makers in ARA investment use?,"Je, wanawake ni waamuzi wa moja kwa moja katika matumizi ya uwekezaji wa uwekezaji wa ARA?",,yes,,,,,,,,Yes_No,,,,input,
78,select_one Yes_No,select_one,ara_training,Did individual or farmer group receive ARA training?,"Je, mtu binafsi au kikundi cha wakulima kilipata mafunzo ya ARA?",,yes,,,,,,,,Yes_No,,,,input,
79,select_multiple training_type,select_multiple,training_type,Type of Training Received,Aina ya Mafunzo Yaliyopokelewa,,yes,,${ara_training}='1',,,,,,training_type,,,,input,
80,select_multiple target_group,select_multiple,target_group,Target Groups Covered,Makundi Lengwa Yaliyofikiwa,,yes,,${ara_training}='1',count-selected(.) >= 1,,,,,target_group,,,,input,
81,integer,integer,male_trained,Number of MALE farmers trained,Idadi ya Wakulima wa Kiume Waliofundishwa,,yes,,${ara_training}='1',. >= 0,,,,,,,,,input,
82,integer,integer,female_trained,Number of FEMALE farmers trained,Idadi ya Wakulima wa Kike Waliofundishwa,,yes,,${ara_training}='1',. >= 0,,,,,,,,,input,
85,select_one Yes_No,select_one,gender_content,Was gender-responsive content included?,"Je, maudhui yanayozingatia usawa wa kijinsia yalijumuishwa?",,yes,,${ara_training}='1',,,,,,Yes_No,,,,input,
86,select_one gender_focus,select_one,gender_focus,Brief gender focus description,Maelezo Mafupi ya Mwelekeo wa Kijinsia,,yes,,${ara_training}='1',,,,,,gender_focus,,,,input,
90,select_multiple vc_stages,select_multiple,vc_stages,What are Value Chain Stages activities involved in this project?,"Je, ni shughuli gani zinazotekelezwa katika kila hatua ya mnyororo wa thamani wa mradi huu?",,yes,,,,,,,,vc_stages,,,,input,
92,integer,integer,farm_preparation_dm,Direct Male Beneficiaries,Wanufaika wa Kiume wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
93,integer,integer,farm_preparation_df,Direct Female Beneficiaries,Wanufaika wa Kike wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
96,integer,integer,farm_preparation_dy,Direct Youth (18-35),Vijana wa Moja kwa Moja (18-35),,yes,,,,,0,,,,,,,input,
97,integer,integer,farm_preparation_im,Indirect Male Beneficiaries,Wanufaika wa Kiume Wasio wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
98,integer,integer,farm_preparation_if,Indirect Female Beneficiaries,Wanufaika wa Kike Wasio wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
101,integer,integer,farm_preparation_iy,Indirect Youth (18-35),Vijana Wasio wa Moja kwa Moja (18-35),,yes,,,,,0,,,,,,,input,
104,integer,integer,farm_operations_dm,Direct Male Beneficiaries,Wanufaika wa Kiume wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
105,integer,integer,farm_operations_df,Direct Female Beneficiaries,Wanufaika wa Kike wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
108,integer,integer,farm_operations_dy,Direct Youth (18-35),Vijana wa Moja kwa Moja (18-35),,yes,,,,,0,,,,,,,input,
109,integer,integer,farm_operations_im,Indirect Male Beneficiaries,Wanufaika wa Kiume Wasio wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
110,integer,integer,farm_operations_if,Indirect Female Beneficiaries,Wanufaika wa Kike Wasio wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
113,integer,integer,farm_operations_iy,Indirect Youth (18-35),Vijana Wasio wa Moja kwa Moja (18-35),,yes,,,,,0,,,,,,,input,
116,integer,integer,input_supply_dm,Direct Male Beneficiaries,Wanufaika wa Kiume wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
117,integer,integer,input_supply_df,Direct Female Beneficiaries,Wanufaika wa Kike wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
120,integer,integer,input_supply_dy,Direct Youth (18-35),Vijana wa Moja kwa Moja (18-35),,yes,,,,,0,,,,,,,input,
121,integer,integer,input_supply_im,Indirect Male Beneficiaries,Wanufaika wa Kiume Wasio wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
122,integer,integer,input_supply_if,Indirect Female Beneficiaries,Wanufaika wa Kike Wasio wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
125,integer,integer,input_supply_iy,Indirect Youth (18-35),Vijana Wasio wa Moja kwa Moja (18-35),,yes,,,,,0,,,,,,,input,
128,integer,integer,weeding_dm,Direct Male Beneficiaries,Wanufaika wa Kiume wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
129,integer,integer,weeding_df,Direct Female Beneficiaries,Wanufaika wa Kike wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
132,integer,integer,weeding_dy,Direct Youth (18-35),Vijana wa Moja kwa Moja (18-35),,yes,,,,,0,,,,,,,input,
133,integer,integer,weeding_im,Indirect Male Beneficiaries,Wanufaika wa Kiume Wasio wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
134,integer,integer,weeding_if,Indirect Female Beneficiaries,Wanufaika wa Kike Wasio wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
137,integer,integer,weeding_iy,Indirect Youth (18-35),Vijana Wasio wa Moja kwa Moja (18-35),,yes,,,,,0,,,,,,,input,
140,integer,integer,pest_dm,Direct Male Beneficiaries,Wanufaika wa Kiume wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
141,integer,integer,pest_df,Direct Female Beneficiaries,Wanufaika wa Kike wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
144,integer,integer,pest_dy,Direct Youth (18-35),Vijana wa Moja kwa Moja (18-35),,yes,,,,,0,,,,,,,input,
145,integer,integer,pest_im,Indirect Male Beneficiaries,Wanufaika wa Kiume Wasio wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
146,integer,integer,pest_if,Indirect Female Beneficiaries,Wanufaika wa Kike Wasio wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
149,integer,integer,pest_iy,Indirect Youth (18-35),Vijana Wasio wa Moja kwa Moja (18-35),,yes,,,,,0,,,,,,,input,
152,integer,integer,harvesting_dm,Direct Male Beneficiaries,Wanufaika wa Kiume wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
153,integer,integer,harvesting_df,Direct Female Beneficiaries,Wanufaika wa Kike wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
156,integer,integer,harvesting_dy,Direct Youth (18-35),Vijana wa Moja kwa Moja (18-35),,yes,,,,,0,,,,,,,input,
157,integer,integer,harvesting_im,Indirect Male Beneficiaries,Wanufaika wa Kiume Wasio wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
158,integer,integer,harvesting_if,Indirect Female Beneficiaries,Wanufaika wa Kike Wasio wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
161,integer,integer,harvesting_iy,Indirect Youth (18-35),Vijana Wasio wa Moja kwa Moja (18-35),,yes,,,,,0,,,,,,,input,
