ChoiceValue,LabelEn,LabelSw,RegionValue,DistrictValue,SortOrder
153,Arash,Arash,1,7,153
154,Maalon,Maalon,1,7,154
155,Soitsambu,Soitsambu,1,7,155
156,Oloipiri,Oloipiri,1,7,156
157,Ololosokwan,Ololosokwan,1,7,157
158,Orgosorok,Orgosorok,1,7,158
159,Kivukoni,Kivukoni,2,8,159
160,Upanga Mashariki,Upanga Mashariki,2,8,160
161,Upanga Magharibi,Upanga Magharibi,2,8,161
162,Jangwani,Jangwani,2,8,162
163,Kariakoo,Kariakoo,2,8,163
164,Kisutu,Kisutu,2,8,164
165,Gerezani,Gerezani,2,8,165
166,Mchafukoge,Mchafukoge,2,8,166
167,Mchikichini,Mchikichini,2,8,167
168,Ilala,Ilala,2,8,168
169,Buguruni,Buguruni,2,8,169
170,Mnyamani,Mnyamani,2,8,170
171,Vingunguti,Vingunguti,2,8,171
172,Kipawa,Kipawa,2,8,172
173,Kiwalani,Kiwalani,2,8,173
174,Minazi Mirefu,Minazi Mirefu,2,8,174
175,Tabata,Tabata,2,8,175
176,Segerea,Segerea,2,8,176
177,Liwiti,Liwiti,2,8,177
178,Kinyerezi,Kinyerezi,2,8,178
179,Bonyokwa,Bonyokwa,2,8,179
180,Kisukuru,Kisukuru,2,8,180
181,Kimanga,Kimanga,2,8,181
182,Chanika,Chanika,2,8,182
183,Zingiziwa,Zingiziwa,2,8,183
184,Majohe,Majohe,2,8,184
185,Buyuni,Buyuni,2,8,185
186,Gongolamboto,Gongolamboto,2,8,186
187,Ukonga,Ukonga,2,8,187
188,Pugu,Pugu,2,8,188
189,Pugu Station,Pugu Station,2,8,189
190,Kitunda,Kitunda,2,8,190
191,Mzinga,Mzinga,2,8,191
192,Msongola,Msongola,2,8,192
193,Kivule,Kivule,2,8,193
194,Kipunguni,Kipunguni,2,8,194
195,Kigamboni,Kigamboni,2,9,195
196,Mjimwema,Mjimwema,2,9,196
197,Kimbiji,Kimbiji,2,9,197
198,Vijibweni,Vijibweni,2,9,198
199,Tungi,Tungi,2,9,199
200,Kibada,Kibada,2,9,200
201,Kisarawe II,Kisarawe II,2,9,201
202,Pembamnazi,Pembamnazi,2,9,202
203,Somangila,Somangila,2,9,203
204,Kinondoni,Kinondoni,2,10,204
205,Makumbusho,Makumbusho,2,10,205
206,Hananasif,Hananasif,2,10,206
207,Kijitonyama,Kijitonyama,2,10,207
208,Mwananyamala,Mwananyamala,2,10,208
209,Tandale,Tandale,2,10,209
210,Magomeni,Magomeni,2,10,210
211,Ndugumbi,Ndugumbi,2,10,211
212,Mzimuni,Mzimuni,2,10,212
213,Kigogo,Kigogo,2,10,213
214,Mikocheni,Mikocheni,2,10,214
215,Msasani,Msasani,2,10,215
216,Kawe,Kawe,2,10,216
217,Mbezi Juu,Mbezi Juu,2,10,217
218,Makongo,Makongo,2,10,218
219,Bunju,Bunju,2,10,219
220,Mabwepande,Mabwepande,2,10,220
221,Mbweni,Mbweni,2,10,221
222,Kunduchi,Kunduchi,2,10,222
223,Wazo,Wazo,2,10,223
224,Chang'ombe,Chang'ombe,2,11,224
225,Temeke,Temeke,2,11,225
226,Keko,Keko,2,11,226
227,Azimio,Azimio,2,11,227
228,Kurasini,Kurasini,2,11,228
229,Sandali,Sandali,2,11,229
230,Tandika,Tandika,2,11,230
231,Miburani,Miburani,2,11,231
232,Mtoni,Mtoni,2,11,232
233,Yombo Vituka,Yombo Vituka,2,11,233
234,Makangarawe,Makangarawe,2,11,234
235,Kilakala,Kilakala,2,11,235
236,Buza,Buza,2,11,236
237,Chamazi,Chamazi,2,11,237
238,Charambe,Charambe,2,11,238
239,Kibondemaji,Kibondemaji,2,11,239
240,Kiburugwa,Kiburugwa,2,11,240
241,Toangoma,Toangoma,2,11,241
242,Mbagala,Mbagala,2,11,242
243,Mianzini,Mianzini,2,11,243
244,Kilungule,Kilungule,2,11,244
245,Mbagala Kuu,Mbagala Kuu,2,11,245
246,Kijichi,Kijichi,2,11,246
247,Mburahati,Mburahati,2,12,247
248,Sinza,Sinza,2,12,248
249,Ubungo,Ubungo,2,12,249
250,Kimara,Kimara,2,12,250
251,Saranga,Saranga,2,12,251
252,Makuburi,Makuburi,2,12,252
253,Makurumla,Makurumla,2,12,253
254,Manzese,Manzese,2,12,254
255,Mabibo,Mabibo,2,12,255
256,Kibamba,Kibamba,2,12,256
257,Kwembe,Kwembe,2,12,257
258,Goba,Goba,2,12,258
259,Mbezi,Mbezi,2,12,259
260,Msigani,Msigani,2,12,260
261,Viwandani,Viwandani,3,13,261
262,Uhuru,Uhuru,3,13,262
263,Chamwino,Chamwino,3,13,263
264,Kikuyu Kaskazini,Kikuyu Kaskazini,3,13,264
265,Tambukareli,Tambukareli,3,13,265
266,Makole,Makole,3,13,266
267,Madukani,Madukani,3,13,267
268,Kiwanja cha Ndege,Kiwanja cha Ndege,3,13,268
269,Ipagala,Ipagala,3,13,269
270,Kilimani,Kilimani,3,13,270
271,Miyuji,Miyuji,3,13,271
272,Kizota,Kizota,3,13,272
273,Nkuhungu,Nkuhungu,3,13,273
274,Kikuyu Kusini,Kikuyu Kusini,3,13,274
275,Majengo,Majengo,3,13,275
276,Chang'ombe,Chang'ombe,3,13,276
277,Mkonze,Mkonze,3,13,277
278,Mnadani,Mnadani,3,13,278
279,Hazina,Hazina,3,13,279
280,Dodoma Makulu,Dodoma Makulu,3,13,280
281,Iyumbu,Iyumbu,3,13,281
282,Nzuguni,Nzuguni,3,13,282
283,Ntyuka,Ntyuka,3,13,283
284,Zuzu,Zuzu,3,13,284
285,Nala,Nala,3,13,285
286,Chigongwe,Chigongwe,3,13,286
287,Mbalawala,Mbalawala,3,13,287
288,Mbabala,Mbabala,3,13,288
